Ingredient_name,jain,vegetarian,vegan,jain_reason,vegetarian_reason,vegan_reason
quinoa,Yes,Yes,Yes,,,
radish,No,Yes,Yes,,,
radishes,No,Yes,Yes,,,
rajma,Yes,Yes,Yes,,,
raspberry powder,Yes,Yes,Yes,,,
red 40,Yes,Yes,Yes,,,
red 40 lake,Yes,Yes,Yes,,,
rice,Yes,Yes,Yes,,,
rutabaga,No,Yes,Yes,,,
rutabagas,No,Yes,Yes,,,
salsify,No,Yes,Yes,,,
salt,Yes,Yes,Yes,,,
sea salt,Yes,Yes,Yes,,,
shallot,No,Yes,Yes,,,
skim milk,Yes,Yes,No,,,
skirret,No,Yes,Yes,,,
sodium citrate,Yes,Yes,Yes,,,
sour cream,No,Yes,No,,,
soy,Yes,Yes,Yes,,,
soy lecithin,Yes,Yes,No,,,
soybeans,Yes,Yes,Yes,,,
spinach,Yes,Yes,Yes,,,
sugar,Yes,Yes,No,,,
sugar cane,Yes,Yes,Yes,,,
sunflower oil,Yes,Yes,Yes,,,
sunflower seeds,Yes,Yes,Yes,,,
suran,No,Yes,Yes,,,
sweet potato,No,Yes,Yes,,,
tamarind,Yes,Yes,Yes,,,
tapioca syrup,Yes,Yes,Yes,,,
taro,No,Yes,Yes,,,
tbhq to maintain freshness,Yes,Yes,Yes,,,
tofu,Yes,Yes,Yes,,,
tomatoes,Yes,Yes,Yes,,,
toor,Yes,Yes,Yes,,,
toor dal,Yes,Yes,Yes,,,
turmeric,Yes,Yes,Yes,,,
turmeric powder,Yes,Yes,Yes,,,
turnip,No,Yes,Yes,,,
turnips,No,Yes,Yes,,,
ulluco,No,Yes,Yes,,,
unsweetened chocolate,Yes,Yes,No,,,
urad dal,Yes,Yes,Yes,,,
vanilla,Yes,Yes,Yes,,,
vanilla extract,Yes,Yes,Yes,,,
vanillin,Yes,Yes,Yes,,,
vegetable oil,Yes,Yes,Yes,,,
walnuts,Yes,Yes,Yes,,,
wasabi,No,Yes,Yes,,,
water,Yes,Yes,Yes,,,
wheat,Yes,Yes,Yes,,,
wheat flour,Yes,Yes,Yes,,,
wheat syrup,Yes,Yes,Yes,,,
whey,Yes,Yes,No,,,
whole milk powder,Yes,Yes,No,,,
